"Time (s)","CPU (%)","RAM (kB)","VUs","RPS"
0,7186,45872,0,0
6,5877,5278540,0,0
7,4687,6890428,0,986.4091987345587
12,6922,12325700,30000,4344.488364785674
17,5810,16688888,30000,8015.008478244865
22,5996,20074020,30000,14873.817866313046
28,5135,23399960,30000,22729.004852543225
33,4310,23439252,30000,29513.46329481826
38,3904,23458088,30000,35386.510540047515
43,3803,23474076,30000,39648.4145609639
48,5055,23582700,30000,43021.35783346339
54,4149,23612892,30000,43811.47903332536
59,4152,23739588,30000,46375.84319290837
64,4811,23052668,30000,47687.16828839002
69,3853,23054256,30000,48233.89645194483
74,5229,23209252,30000,50388.76296052836
80,4032,23210076,30000,50342.373650162925
85,4805,23374872,30000,51694.479421861426
90,5211,23375656,30000,51480.846358495866
95,4306,23376528,30000,53217.43037698419
100,5726,23633080,30000,53843.67607397443
106,4956,23633576,30000,53496.871096987095
111,5101,23634340,30000,54440.890314918965
116,6126,23416676,30000,54947.320303708715
121,4715,23425304,30000,54544.45293682606
126,5244,23777380,30000,54227.44388394412
132,5306,23790972,30000,55518.072960290825
137,4240,23795648,30000,54863.64103386108
142,5251,23800124,30000,56240.200579323304
147,4489,24204628,30000,56176.025769657506
152,3938,24212800,30000,55826.580909125405
158,4537,24217420,30000,56838.10990936923
163,4584,24221420,30000,56849.987101769206
168,3892,23790436,30000,56526.39374150099
173,4906,23793320,30000,56240.00366072286
178,4681,24025008,30000,57290.31152742408
184,4422,24428196,30000,57428.24112212318
189,4232,24479572,30000,57633.686577609034
194,5296,24481240,30000,57398.87897042488
199,4680,24488312,30000,57206.78984659231
204,4227,24495480,30000,57695.805931809366
210,5440,24497580,30000,58065.23696707458
215,4619,24498704,30000,59706.510356587765
220,4363,25054520,30000,58720.12954363163
225,5513,25054968,30000,58887.77939955161
230,4388,25056448,30000,57715.70050826425
236,4132,25057828,30000,58175.11783382376
241,4370,25061200,30000,58421.01270100316
246,4943,24563308,30000,58673.51819986915
251,4238,24564448,30000,58911.607285547005
256,3960,24564964,30000,59297.95420953856
262,4709,24568480,30000,59333.07549884235
267,4808,24572136,30000,58335.72297232823
272,4113,25409900,30000,58864.75170548849
277,4039,25412316,30000,59325.377597212515
282,4933,25537916,30000,59608.14629643267
288,4129,25538740,30000,59646.642316175734
294,4130,25580044,30000,58713.69192598313
299,4147,25580784,30000,59254.46358295235
304,3164,25582260,30000,59594.75071064463
309,103.0,25586384,8766,59662.92643066348
314,100.0,25592680,1,58848.02117290369
320,100.4,25592808,1,58848.02117290369
343,100.0,0,0,0
